City,State,Median Income,Percent with Bachelors or Higher,Population,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Frazee city,Minnesota,23179,11.9601328903654,1391,,,,
Inver Grove Heights city,Minnesota,42572,36.1899740428293,35672,,,,
South Haven city,Minnesota,26159,4.8780487804878,193,,,,
Sherburn city,Minnesota,27316,13.1914893617021,1087,,,,
Buffalo city,Minnesota,37285,30.8909561714778,16442,,,,
Howard Lake city,Minnesota,29222,14.0601503759398,2136,,,,
Aurora city,Minnesota,21982,18.235294117647,1626,,,,
Biwabik city,Minnesota,29140,17.9824561403508,969,,,,
Floodwood city,Minnesota,21654,5.32544378698224,522,,,,
Fifty Lakes city,Minnesota,44144,29.8932384341637,404,,,,
Nisswa city,Minnesota,38713,44.2218798151001,2096,,,,
Minneota city,Minnesota,29404,20.9205020920502,1356,,,,
Russell city,Minnesota,28434,13.6792452830188,342,,,,
Donnelly city,Minnesota,31413,13.0681818181818,234,,,,
Appleton city,Minnesota,28035,18.7071498530852,1325,,,,
Danvers city,Minnesota,30078,29.2929292929292,90,,,,
De Graff city,Minnesota,60442,16.6666666666666,123,,,,
Grove City city,Minnesota,19003,12.4242424242424,619,,,,
Correll city,Minnesota,17984,0,32,,,,
Elbow Lake CDP,Minnesota,11224,0,,,,,
Hitterdal city,Minnesota,31803,10.3658536585365,211,,,,
Sabin city,Minnesota,35522,20.5128205128205,558,,,,
Blaine city,Minnesota,37602,34.8640015032649,65607,,,,
Centerville city,Minnesota,45035,39.5491020252197,4002,,,,
Circle Pines city,Minnesota,37362,34.5117357287742,4938,,,,
Coon Rapids city,Minnesota,33323,25.7478876455811,62998,,,,
Sunfish Lake city,Minnesota,122270,72.8997289972899,544,,,,
West St. Paul city,Minnesota,31835,31.3340005719187,19961,,,,
Silver Bay city,Minnesota,32669,27.4436090225563,1762,,,,
Hatfield city,Minnesota,22177,0,52,,,,
Two Harbors city,Minnesota,27394,22.5477707006369,3529,,,,
Gary city,Minnesota,29060,11.1731843575419,202,,,,
